,dateRep,continentExp,cases,deaths
389,2/24/20,Méditerranée orientale,19,3
390,2/24/20,Other,57,1
391,2/24/20,Pacifique occidental,393,152
392,2/25/20,Afrique,0,0
393,2/25/20,Amérique du Nord,20,0
394,2/25/20,Amérique latine,0,0
395,2/25/20,Asie du Sud-Est,2,0
396,2/25/20,Europe,98,4
397,2/25/20,Méditerranée orientale,25,4
398,2/25/20,Other,0,0
399,2/25/20,Pacifique occidental,648,71
400,2/26/20,Afrique,1,0
401,2/26/20,Amérique du Nord,0,0
402,2/26/20,Amérique latine,1,0
403,2/26/20,Asie du Sud-Est,3,0
404,2/26/20,Europe,109,5
405,2/26/20,Méditerranée orientale,67,3
406,2/26/20,Other,0,1
407,2/26/20,Pacifique occidental,686,55
408,2/27/20,Afrique,0,0
409,2/27/20,Amérique du Nord,7,0
410,2/27/20,Amérique latine,0,0
411,2/27/20,Asie du Sud-Est,0,0
412,2/27/20,Europe,107,2
413,2/27/20,Méditerranée orientale,72,4
414,2/27/20,Other,14,0
415,2/27/20,Pacifique occidental,914,32
416,2/28/20,Afrique,1,0
417,2/28/20,Amérique du Nord,3,0
418,2/28/20,Amérique latine,0,0
419,2/28/20,Asie du Sud-Est,0,0
420,2/28/20,Europe,342,5
421,2/28/20,Méditerranée orientale,133,7
422,2/28/20,Other,0,0
423,2/28/20,Pacifique occidental,787,45
424,2/29/20,Afrique,0,0
425,2/29/20,Amérique du Nord,10,0
426,2/29/20,Amérique latine,0,0
427,2/29/20,Asie du Sud-Est,2,0
428,2/29/20,Europe,326,4
429,2/29/20,Méditerranée orientale,153,8
430,2/29/20,Other,0,2
431,2/29/20,Pacifique occidental,1368,50
432,2/3/20,Afrique,0,0
433,2/3/20,Amérique du Nord,3,0
434,2/3/20,Amérique latine,0,0
435,2/3/20,Asie du Sud-Est,0,0
436,2/3/20,Europe,1,0
437,2/3/20,Méditerranée orientale,0,0
438,2/3/20,Other,0,0
439,2/3/20,Pacifique occidental,2814,57
440,2/4/20,Afrique,0,0
441,2/4/20,Amérique du Nord,0,0
442,2/4/20,Amérique latine,0,0
443,2/4/20,Asie du Sud-Est,1,0
444,2/4/20,Europe,3,0
445,2/4/20,Méditerranée orientale,0,0
446,2/4/20,Other,0,0
447,2/4/20,Pacifique occidental,3239,65
448,2/5/20,Afrique,0,0
449,2/5/20,Amérique du Nord,1,0
450,2/5/20,Amérique latine,0,0
451,2/5/20,Asie du Sud-Est,6,0
452,2/5/20,Europe,1,0
453,2/5/20,Méditerranée orientale,0,0
454,2/5/20,Other,10,0
455,2/5/20,Pacifique occidental,3890,66
456,2/6/20,Afrique,0,0
457,2/6/20,Amérique du Nord,1,0
458,2/6/20,Amérique latine,0,0
459,2/6/20,Asie du Sud-Est,0,0
460,2/6/20,Europe,0,0
461,2/6/20,Méditerranée orientale,0,0
462,2/6/20,Other,10,0
463,2/6/20,Pacifique occidental,3740,72
464,2/7/20,Afrique,0,0
465,2/7/20,Amérique du Nord,2,0
466,2/7/20,Amérique latine,0,0
467,2/7/20,Asie du Sud-Est,0,0
468,2/7/20,Europe,2,0
469,2/7/20,Méditerranée orientale,0,0
470,2/7/20,Other,41,0
471,2/7/20,Pacifique occidental,3173,73
472,2/8/20,Afrique,0,0
473,2/8/20,Amérique du Nord,0,0
474,2/8/20,Amérique latine,0,0
475,2/8/20,Asie du Sud-Est,7,0
476,2/8/20,Europe,6,0
477,2/8/20,Méditerranée orientale,2,0
478,2/8/20,Other,3,0
479,2/8/20,Pacifique occidental,3424,86
480,2/9/20,Afrique,0,0
481,2/9/20,Amérique du Nord,0,0
